title,revenue,vote_average,vote_count
Antitrust,18195610,5.8,153
Antiviral,0,5.7,112
Antwone Fisher,23367586,6.7,137
Antz,171757863,6.0,1272
Any Given Sunday,100230832,6.8,422
Anything Else,0,6.2,149
Anywhere But Here,18653615,5.9,66
Apocalypse Now,89460381,8.0,2055
Apocalypto,120175290,7.3,1221
Apollo 13,355237933,7.3,1599
Apollo 18,25562924,5.0,356
Appaloosa,20211394,6.3,299
April Fool's Day,0,5.8,73
Aqua Teen Hunger Force Colon Movie Film for Theaters,0,6.5,35
Aquamarine,23006849,5.8,364
Arachnophobia,53208180,6.2,433
Ararat,0,5.7,16
Arbitrage,35485056,6.1,294
Archaeology of a Woman,0,0.0,0
Are We There Yet?,97918663,5.2,221
Area 51,0,4.2,151
Argo,232324128,7.1,3423
Arlington Road,0,7.0,239
Armageddon,553799566,6.4,2482
Armored,22942221,5.5,208
Army of Darkness,0,7.3,838
Arn: The Knight Templar,0,6.4,76
Around the World in 80 Days,72178895,5.7,672
Aroused,0,7.2,11
Arthur Christmas,0,6.7,333
Arthur and the Invisibles,107944236,6.0,639
"As Above, So Below",40100000,6.1,766
As Good as It Gets,314178011,7.2,915
As It Is in Heaven,0,6.9,42
Ask Me Anything,0,5.5,155
Assassins,30303072,6.0,387
Assault on Precinct 13,35294470,6.0,311
Asterix at the Olympic Games,132900000,5.0,471
Astro Boy,44091067,6.1,409
At First Sight,0,5.9,48
Atlantis: The Lost Empire,186053725,6.7,1224
Atlas Shrugged Part II,0,5.4,41
Atlas Shrugged Part III: Who is John Galt?,846704,3.9,15
Atonement,129266061,7.4,1049
Attack the Block,3964682,6.3,733
August,0,6.2,15
August Rush,66122026,7.1,797
August: Osage County,74188937,6.9,483
Austin Powers in Goldmember,296655431,5.9,979
Austin Powers: International Man of Mystery,67683989,6.5,1013
Austin Powers: The Spy Who Shagged Me,310940086,6.2,1011
Australia,49554002,6.3,694
Auto Focus,2062066,6.1,56
Automata,0,5.6,670
Autumn in New York,0,5.7,135
Avatar,2787965087,7.2,11800
Avengers: Age of Ultron,1405403694,7.3,6767
Awake,14373825,6.3,395
Away We Go,14899417,6.7,189
Ayurveda: Art of Being,2074000,5.5,3
B-Girl,0,5.5,7
Baahubali: The Beginning,100000000,7.5,135
Babe,254134910,6.0,733
Babe: Pig in the City,69131860,5.2,305
Babel,135330182,6.9,1055
Baby Boy,29381649,7.4,55
Baby Geniuses,36450736,3.3,75
Baby Mama,63833449,5.8,205
Baby's Day Out,16671505,5.8,274
Babylon A.D.,72108608,5.4,676
Bachelorette,11947954,5.3,444
Back to the Future,381109762,8.0,6079
Back to the Future Part II,332000000,7.4,3829
Back to the Future Part III,244527583,7.1,2900
Backmask,0,4.7,79
Bad Boys,141407024,6.5,1699
Bad Boys II,273339556,6.3,1564
Bad Company,65977295,5.4,228
Bad Grandpa,151831537,6.0,680
Bad Moms,183936074,6.3,1252
Bad Santa,76488889,6.5,656
Bad Teacher,216197492,5.4,1584
Bad Words,7800000,6.4,334
Baggage Claim,22456509,5.6,85
Baghead,0,5.8,23
Bait,0,5.3,191
Ballistic: Ecks vs. Sever,19924033,4.3,97
Bambi,267447150,6.8,1405
Bamboozled,0,6.3,24
Bananas,11833696,6.7,165
Bandidas,10496317,5.8,307
Bandits,67631903,6.2,302
Bandslam,5210988,5.4,126
Bang,0,6.0,1
Bang Bang Baby,0,6.6,8
Bangkok Dangerous,42487390,5.0,332
Banshee Chapter,0,5.7,92
Barbarella,2500000,5.7,146
Barbecue,14348529,5.8,214
Barbershop,75781642,6.2,137
Barbershop 2:  Back in Business,65070412,5.6,74
Barney's Great Adventure,0,2.9,8
Barney's Version,8454301,7.2,129
Barnyard,72779000,5.3,225
Barry Lyndon,20000000,7.7,505
Barry Munday,0,6.3,22
Basic,42792561,6.2,286
Basic Instinct 2,38629478,4.6,180
Basquiat,3011195,6.6,94
Bathing Beauty,6892000,7.0,4
Bathory: Countess of Blood,0,5.6,31
Batman,411348924,7.0,2096
Batman,411348924,7.0,2096
Batman,0,6.1,203
Batman,0,6.1,203
Batman & Robin,238207122,4.2,1418
Batman Begins,374218673,7.5,7359
Batman Forever,336529144,5.2,1498
Batman Returns,280000000,6.6,1673
Batman v Superman: Dawn of Justice,873260194,5.7,7004
"Batman: The Dark Knight Returns, Part 2",0,7.9,419
Bats,10,4.1,35
Battle for the Planet of the Apes,8844595,5.5,215
Battle of the Year,16549477,5.9,88
Battle: Los Angeles,202466756,5.5,1448
Battlefield Earth,21400000,3.0,255
Battleship,303025485,5.5,2114
Be Cool,95226116,5.4,292
Be Kind Rewind,0,6.2,424
Beastly,43165571,6.0,849
Beastmaster 2: Through the Portal of Time,869325,4.6,17
Beasts of the Southern Wild,21107746,6.8,403
Beat the World,0,4.3,16
Beautiful Creatures,60052138,5.6,984
Beauty Shop,36351350,5.4,115
Beavis and Butt-Head Do America,0,6.5,168
Because I Said So,69485490,5.8,191
Because of Winn-Dixie,32645546,6.1,61
Becoming Jane,37311672,6.9,317
Bedazzled,90383208,5.6,512
Bedtime Stories,212874442,5.9,901
Bee Movie,287594577,5.7,1171
Beer League,0,5.3,22
Beerfest,19179969,5.8,172
Beetlejuice,73326666,7.1,1444
Before I Go to Sleep,15447154,6.2,659
Before Midnight,11176469,7.4,568
Before Sunrise,5535405,7.7,959
Before Sunset,15992615,7.6,718
Begin Again,63464861,7.3,1254
Beginners,5332926,6.8,347
Behind Enemy Lines,91753202,6.0,457
Being John Malkovich,22863596,7.3,1101
Being Julia,0,6.4,23
Bella,0,6.7,37
Beloved,0,5.9,26
Below Zero,0,4.4,12
Ben-Hur,94061311,5.3,621
Bend It Like Beckham,76578641,6.2,578
Bending Steel,0,5.0,1
Beneath Hill 60,0,7.3,40
Beneath the Planet of the Apes,18999718,6.2,361
Benji,0,6.1,35
Beowulf,195735876,5.5,841
Bernie,9206470,6.5,320
Best in Show,0,6.7,166
Better Luck Tomorrow,0,6.5,27
Betty Fisher and Other Stories,0,7.0,3
Beverly Hills Chihuahua,149281606,4.9,209
Beverly Hills Cop,316360478,6.8,961
Beverly Hills Cop II,299965036,6.1,613
Beverly Hills Cop III,119208989,5.5,434
Beyond Borders,0,6.7,110
Beyond the Black Rainbow,0,5.7,77
Beyond the Lights,14618727,7.0,139
Beyond the Mat,500000,7.8,17
Beyond the Sea,0,6.5,55
Beyond the Valley of the Dolls,40000000,6.6,53
Bicentennial Man,93700000,6.9,963
Big,151668774,6.9,993
Big Daddy,234801895,6.1,875
Big Eyes,28883511,6.8,1196
Big Fat Liar,52970014,5.6,197
Big Fish,122919055,7.6,1994
Big Hero 6,652105443,7.8,6135
Big Miracle,24719215,6.6,152
Big Momma's House,173959438,5.6,506
Big Momma's House 2,138259062,5.4,371
"Big Mommas: Like Father, Like Son",83615414,5.3,313
Big Trouble,8493890,6.3,80
Big Trouble in Little China,11000000,7.1,705
Bill & Ted's Bogus Journey,0,5.9,308
Bill & Ted's Excellent Adventure,40485039,6.7,454
Billy Elliot,110000000,7.4,750
Birdman,103215094,7.4,4535
Birth,0,5.9,179
Birthday Girl,0,6.1,103
Biutiful,25147786,7.0,291
Bizarre,0,6.2,11
Black Book,26193068,7.2,277
Black Christmas,21510851,4.8,119
Black Hawk Down,172989651,7.2,1811
Black Knight,0,5.1,287
Black Mass,98837872,6.3,1242
Black Nativity,7018189,5.8,16
Black November,0,6.4,4
Black Rain,45892212,6.2,243
Black Rock,0,4.9,78
Black Snake Moan,10903846,6.6,243
Black Swan,327803731,7.3,4430
Black Water Transit,0,0.0,0
Black or White,21571189,6.5,115
Blackhat,17752940,5.1,826
Blackthorn,623528,6.6,73
Blade,131183530,6.5,1905
Blade II,155010032,6.2,1528
Blade Runner,33139618,7.9,3509
Blade: Trinity,128905366,5.7,1252
Blades of Glory,0,5.9,569
Blast from the Past,40263020,6.3,245
Blazing Saddles,119500000,7.2,609
Bled,0,3.8,4
Bleeding Hearts,0,2.0,1
Blended,123494610,6.6,1006
Bless the Child,0,4.9,71
Blindness,19844979,6.4,387
Blonde Ambition,0,3.9,29
Blood Diamond,170877916,7.3,2281
Blood Done Sign My Name,0,6.0,5
Blood Ties,2415472,6.0,171
Blood Work,26199517,6.1,206
Blood and Chocolate,0,5.4,87
Blood and Wine,0,5.5,34
BloodRayne,2405420,3.5,118
Bloodsport,11806119,6.6,363
Bloody Sunday,773228,7.2,53
Blow,83282296,7.4,1317
Blow Out,12000000,7.3,236
Blue Car,464000,6.7,13
Blue Crush,51842679,5.6,159
Blue Jasmine,99206215,7.0,1098
Blue Like Jazz,0,5.8,25
Blue Ruin,258384,6.9,462
Blue Streak,117758500,6.1,352
Blue Valentine,16566240,6.9,890
Boat Trip,8586376,4.7,146
Bobby,0,6.4,119
Bobby Jones: Stroke of Genius,0,5.5,19
Body Double,8801940,6.4,137
Body of Lies,113280098,6.5,895
Bodyguards and Assassins,5837674,6.5,57
Bogus,0,5.4,44
Boiler Room,28780255,6.5,201
Bolt,309979994,6.3,1750
Bon Cop Bad Cop,12671300,6.5,42
Bon voyage,0,5.7,20
Boogeyman,67192859,4.6,191
Boogie Nights,43101594,7.5,796
Book of Shadows: Blair Witch 2,0,4.3,212
Boom Town,9172000,6.5,8
Boomerang,70100000,5.4,134
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,261572744,6.5,1579
Born Of War,0,4.1,7
Born on the Fourth of July,161001698,6.7,395
Born to Fly: Elizabeth Streb vs. Gravity,0,5.0,1
Bottle Rocket,560069,6.8,281
Bottle Shock,4040588,6.6,60
Bound,7011317,6.9,198
Bound by Honor,0,7.7,115
Bowfinger,0,6.0,254
Bowling for Columbine,35564473,7.3,453
Boyhood,44349000,7.5,1971
Boynton Beach Club,0,6.8,3
Boys Don't Cry,11540607,7.2,353
Boys and Girls,20627372,5.4,103
Boyz n the Hood,57504069,7.4,364
Bran Nue Dae,7,5.2,6
Brave,538983207,6.7,4641
Brave New Girl,0,3.7,3
Braveheart,210000000,7.7,3336
Brazil,0,7.5,861
Breakdown,50159144,6.6,198
Breakfast of Champions,0,5.2,28
Breakin' All the Rules,0,5.8,21
Breaking Upwards,0,5.6,12
Brick Lane,0,5.2,15
Brick Mansions,68896829,5.7,615
Bride & Prejudice,0,6.5,110
Bride Wars,114663461,5.9,856
Bride of Chucky,50671850,5.5,350
Bridesmaids,288383523,6.5,1661
Bridge of Spies,165478348,7.2,2583
Bridge to Terabithia,137587063,7.0,1113
Bridget Jones's Diary,281929795,6.5,1356
Bridget Jones: The Edge of Reason,40203020,6.1,750
Brigham City,852206,7.3,4
"Bright Lights, Big City",0,4.7,28
Bright Star,4440055,6.8,107
Brighton Rock,0,5.6,35
Bring It On,90449929,5.8,568
Bringing Down the House,132675402,5.4,183
Bringing Out the Dead,0,6.6,225
Brokeback Mountain,178043761,7.5,1480
Brokedown Palace,13000000,6.2,111
Broken Arrow,150270147,5.7,453
Broken City,19701164,5.7,593
Broken Horses,0,5.0,10
Broken Vessels,0,6.0,2
Bronson,2260712,6.9,733
Brooklyn,62076141,7.2,1213
Brooklyn Rules,458232,5.8,18
Brooklyn's Finest,29536299,6.2,293
Brother,15250000,6.8,107
Brotherly Love,0,6.9,21
Brothers,43318349,6.8,633
Brown Sugar,27362712,7.0,31
Bruce Almighty,484572835,6.4,3012
Brüno,0,5.4,518
Bubba Ho-tep,0,6.7,191
Bubble Boy,0,5.1,163
Bucky Larson: Born to Be a Star,0,4.4,51
Buffalo '66,2375097,7.1,166
Buffalo Soldiers,0,6.5,93
Bullet to the Head,9489829,5.2,481
Bulletproof Monk,0,5.1,278
Bullets Over Broadway,0,7.0,130
Bully,480811,6.7,125
Bulworth,29202884,6.3,66
Buried,19152480,6.6,827
Burlesque,89519773,6.9,573
Burn,111300,6.9,6
Burn After Reading,163720069,6.5,1222
Burnt,36606743,6.3,950
But I'm a Cheerleader,0,6.5,101
Butch Cassidy and the Sundance Kid,102308889,7.4,650
Butterfly,0,5.0,12
Butterfly Girl,0,0.0,0
Butterfly on a Wheel,0,6.3,130
By the Sea,3727746,5.4,156
C.H.U.D.,3412497,5.3,62
CJ7,47301471,6.1,107
Ca$h,46488,6.0,73
Cabin Fever,0,4.4,111
Caddyshack,39846344,6.6,365
Cadillac Records,0,6.9,86
Call + Response,0,8.0,1
Camping Sauvage,0,4.8,4
Can't Hardly Wait,25605015,6.1,122
Can't Stop the Music,0,4.9,9
Cape Fear,182300000,7.0,675
Capitalism: A Love Story,17436509,7.0,167
Capote,49084830,6.8,384
Capricorn One,0,6.4,131
Captain America: Civil War,1153304495,7.1,7241
Captain America: The First Avenger,370569774,6.6,7047
Captain America: The Winter Soldier,714766572,7.6,5764
Captain Corelli's Mandolin,62112895,5.5,145
Captain Phillips,95000000,7.6,2454
Captive,2801508,5.6,92
Caramel,0,6.8,52
Caravans,0,5.8,1
Cargo,0,5.9,140
Carlos,871279,6.7,50
Carnage,27603069,7.0,738
Carousel of Revenge,0,0.0,0
Carrie,82394288,5.8,1463
Carriers,5802422,5.8,282
Cars,461983149,6.6,3877
Cars 2,559852396,5.8,2033
Casa De Mi Padre,0,5.5,103
Casablanca,10462500,7.9,1422
Case 39,29000000,6.1,563
Casino,116112375,7.8,1307
Casino Jack,1083683,6.0,94
Casino Royale,599045960,7.3,3855
Casper,287928194,6.0,1019
Cast Away,429632142,7.5,3218
Cat People,0,6.0,94
Cat on a Hot Tin Roof,17570324,7.6,165
Catch Me If You Can,352114312,7.7,3795
Catch That Kid,16702864,4.9,76
Catch a Fire,4291965,6.4,25
Catch-22,24911670,6.7,72
Cats & Dogs,93375151,5.0,352
Cats & Dogs 2 : The Revenge of Kitty Galore,112483764,4.9,119
Cats Don't Dance,3566637,7.1,24
Catwoman,82102379,4.2,808
Cavite,0,7.5,2
Cecil B. Demented,0,6.2,51
Cedar Rapids,6861102,5.9,135
Celebrity,0,6.0,111
Celeste & Jesse Forever,3094813,6.4,163
Cellular,56422687,6.1,537
Censored Voices,0,5.1,8
Center Stage,17200925,6.8,90
Central Intelligence,216972543,6.2,1650
Central Station,5596708,7.6,126
Centurion,6814789,5.9,386
Certifiably Jonathan,0,0.0,0
Chain Letter,0,3.9,37
Chain Reaction,60209334,5.3,284
Chain of Command,0,5.3,11
Chairman of the Board,0,2.7,13
Changeling,113020255,7.3,1131
Changing Lanes,94935764,5.9,299
Chappie,104399548,6.6,3062
Character,0,7.7,25
Chariots of Fire,58972904,6.8,207
Charlie Bartlett,0,6.5,225
Charlie St. Cloud,48190704,6.8,566
Charlie Wilson's War,119000410,6.5,338
Charlie and the Chocolate Factory,474968763,6.7,3624
Charlie's Angels,264105545,5.6,1232
Charlie's Angels: Full Throttle,259175788,5.2,914
Charlotte's Web,144000000,5.8,288
Charly,814666,6.6,28
Chasing Amy,12021272,6.7,433
Chasing Liberty,12,6.1,152
Chasing Mavericks,0,7.0,216
Chasing Papi,6126237,6.3,16
Cheap Thrills,0,6.3,155
Cheaper by the Dozen,190212113,6.0,699
Cheaper by the Dozen 2,129181830,5.7,526
Checkmate,0,4.2,13
Cheri,9366227,5.9,56
Chernobyl Diaries,18112929,4.9,483
Chiamatemi Francesco - Il Papa della gente,0,7.3,12
Chicago,306776732,6.9,677
Chicago Overcoat,0,6.1,5
Chicken Little,314432665,5.6,944
Chicken Run,224834564,6.5,1150
Chicken Tikka Masala,0,3.5,5
Child 44,3324330,6.1,547
Child's Play,44196684,6.3,581
Child's Play 2,35763605,5.8,308
Childless,0,4.5,2
Children of Heaven,900000,7.8,112
Children of Men,69959751,7.4,2071
Chill Factor,11263966,5.3,29
Chloe,8459458,5.9,498
Chocolat,152500343,6.8,951
Chocolate: Deep Dark Secrets,0,3.4,6
Choke,3830137,6.0,127
Christmas Eve,0,6.1,24
Christmas Mail,0,5.0,15
Christmas with the Kranks,0,5.2,193
Chronicle,145000000,6.6,1935
Chuck & Buck,0,5.7,16
